intent_group,canonical_query,keyword_variants,player_task,canonical_url,page_type,evidence_status,hold_notes
home,moonlight peaks,"moonlight peaks, moonlight peaks game, moonlight peaks steam",Find the central launch/demo status hub,/,official-confirmed,confirmed,"No broad wiki claims; no official images."
demo,moonlight peaks demo,"moonlight peaks demo, moonlight peaks steam demo, moonlight peaks switch demo",Check where the demo is available and what official sources say it includes,/demo/,official-confirmed,confirmed,"No exact walkthrough; no save-transfer claim."
platforms,moonlight peaks switch,"moonlight peaks switch, moonlight peaks switch 2, moonlight peaks steam, moonlight peaks google play games",Compare platform availability and regional date notes,/switch-steam/,official-confirmed,confirmed,"No performance claims; no regional generalization."
release,moonlight peaks release date,"moonlight peaks release date, moonlight peaks launch date, when does moonlight peaks come out",Confirm launch date and regional differences,/release-date/,official-confirmed,confirmed,"Must explain July 7 vs July 9 source context."
checklist,moonlight peaks checklist,"moonlight peaks beginner, moonlight peaks before you play, moonlight peaks launch checklist",Complete a safe pre-play/pre-buy checklist without spoilers,/starter-checklist/,tool,partial,"No quest route, gifts, crop table, or progress carryover unless verified."
sources,moonlight peaks sources,"moonlight peaks official sources, moonlight peaks wiki, moonlight peaks fandom",Understand what is official, what is a lead, and what is held,/sources/,trust,confirmed,"wiki.gg/Fandom are SERP-supply leads only, not source of publishable facts."
about,moonlight peaks unofficial,"moonlight peaks compass, moonlight peaks unofficial guide",Understand unofficial status and editorial boundaries,/about/,trust,confirmed,"No affiliation claim."
editorial,moonlight peaks evidence policy,"moonlight peaks corrections, moonlight peaks evidence policy",Review publishing rules and correction path,/editorial/,trust,confirmed,"No unsupported claims."
contact,moonlight peaks corrections,"moonlight peaks contact, moonlight peaks corrections",Send corrections or source updates,/contact/,trust,confirmed,"Static contact path only."
privacy,moonlight peaks privacy,"moonlight peaks privacy",Privacy and no-tracking disclosure,/privacy/,trust,confirmed,"No analytics unless later approved."
future-romance,moonlight peaks romance,"moonlight peaks romance, moonlight peaks dating, moonlight peaks gifts",Find romance gifts/routes,future,needs-gameplay,hold,"Do not publish first version."
future-characters,moonlight peaks characters,"moonlight peaks characters, moonlight peaks villagers",Find character list and profiles,future,needs-official-or-gameplay,hold,"Covered by wiki/Fandom; do not copy."
future-crops,moonlight peaks crops,"moonlight peaks crops, moonlight peaks recipes",Find crop/recipe tables,future,needs-gameplay,hold,"Do not publish tables without testing."
